Date,Close,Open,High,Low,Volume,,,,,,,,,,,,
1/2/20,68.37,67.08,68.41,67.08,1406731,,,,,,,,,,,,
1/3/20,68.03,67.39,68.63,67.28,1179289,,,,,,,,,,,,
1/6/20,69.71,67.5,69.83,67.5,1733149,,,,,,,,,,,,
1/7/20,69.67,69.9,70.15,69.52,1511693,,,,,,,,,,,,
1/8/20,70.22,69.6,70.58,69.54,1529177,,,,,,,,,,,,
1/9/20,70.99,71.03,71.37,70.51,1502664,,,,,,,,,,,,
1/10/20,71.49,71.38,71.75,70.92,1817204,,,,,,,,,,,,
1/13/20,71.96,71.81,72.03,71.3,1653482,,,,,,,,,,,,
1/14/20,71.54,71.95,72.09,71.42,1560453,,,,,,,,,,,,
1/15/20,71.96,71.51,72.07,71.51,1282685,,,,,,,,,,,,
1/16/20,72.59,72.37,72.6,72.05,1173688,,,,,,,,,,,,
1/17/20,74.02,73.15,74.06,72.91,2193339,,,,,,,,,,,,
1/21/20,74.22,73.96,74.59,73.56,2008830,,,,,,,,,,,,
1/22/20,74.3,74.55,75.16,74.25,1610846,,,,,,,,,,,,
1/23/20,74.33,74.38,74.78,74.11,1351354,,,,,,,,,,,,
1/24/20,73.34,74.68,74.77,73.26,1777039,,,,,,,,,,,,
1/27/20,71.7,71.55,71.9,71.06,1706018,,,,,,,,,,,,
1/28/20,72.63,72.15,72.8,71.62,1514030,,,,,,,,,,,,
1/29/20,72.93,72.94,73.27,72.34,1062632,,,,,,,,,,,,
1/30/20,72.79,72,72.86,71.82,1296020,,,,,,,,,,,,
1/31/20,71.71,73.45,73.51,71.43,2403588,,,,,,,,,,,,
2/3/20,74.3,73.1,74.5,72.95,3055216,,,,,,,,,,,,
2/4/20,72.35,72.85,73.48,71.32,3932954,,,,,,,,,,,,
2/5/20,72.41,73.12,73.19,71.53,1986157,,,,,,,,,,,,
2/6/20,73.81,72.52,74.1,72.48,1679384,,,,,,,,,,,,
2/7/20,73.96,73.37,74.29,73.32,1169773,,,,,,,,,,,,
2/10/20,75.43,73.72,75.48,73.72,1419876,,,,,,,,,,,,
2/11/20,75.44,75.59,76.48,75.28,1344633,,,,,,,,,,,,
2/12/20,75.91,75.72,76.03,75.41,1167565,,,,,,,,,,,,
2/13/20,75.73,75.63,76.36,75.23,929730,,,,,,,,,,,,
2/14/20,76.04,75.78,76.04,75.37,1161350,,,,,,,,,,,,
2/18/20,75.98,75.75,76.58,75.63,1121140,,,,,,,,,,,,
2/19/20,76.33,76.25,76.61,76.07,949268,,,,,,,,,,,,
2/20/20,75.91,76.1,76.48,75.34,1096552,,,,,,,,,,,,
2/21/20,74.26,75.4,75.61,74.02,1723492,,,,,,,,,,,,
